title,scenario,ai_name,prodconc_gai_g,prodamt_g_ha
ANT - compost on lettuce,CCP,cyprodinil,0.375,600
ANT - compost on lettuce,CCP,fludioxonil,0.25,600
ANT - compost on lettuce,IPM,none,0,0
